,Col1,Col2,Col3,Col4
22,Indoor Air Quality,What Is NIEHS Doing?,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
23,Indoor Air Quality,What Is NIEHS Doing?,"Actions to reduce mold exposure in early life may have long-term health benefits, potentially decreasing prevalence and severity of asthma.
Among inner-city children with asthma who live in homes with high levels of indoor air pollution, those children with sufficient vitamin D levels had fewer symptoms.
Household air pollution exposure likely affects lung development prenatally. Indoor air pollution exposure during pregnancy was associated with impaired lung function in infants. This altered infant lung function may then increase risk for pneumonia in the first year of life.
Outdoor air quality can affect indoor air. Air pollution levels have been trending downward over several decades in southern California, due to air quality-control policies. These improvements in air quality are associated with improved lung development in children.
The school environment contributes to childhood asthma illness. A study found that airborne mouse allergens in inner-city schools are linked to increased symptoms and decreased lung function in asthmatic children. School-based environmental interventions may be beneficial for curbing the public health problem of childhood asthma.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
24,Indoor Air Quality,What Is NIEHS Doing?,Cardiovascular Disease,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
25,Indoor Air Quality,What Is NIEHS Doing?,"A study partially supported by NIEHS found that markers of cardiovascular disease risk appear when ozone levels are even lower than current EPA air quality standards. In healthy adults, exposure to short-term indoor and outdoor ozone was linked to increased blood platelets, a risk factor for clotting, and increased blood pressure.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
26,Indoor Air Quality,What Is NIEHS Doing?,Cognitive Effects,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
27,Indoor Air Quality,What Is NIEHS Doing?,"Indoor exposures to air pollutants, including particulate matter, allergens, oxides of nitrogen, endotoxin, and mold, have been associated with impaired health and performance in children and adults.
Characterization of indoor air pollution in schools is a public health concern for children, given the large amount of time spent there. Some inner-city schools exceeded WHO guidelines for interior air quality, particularly for nitric oxide, an indoor air pollutant that can affect cognitive outcomes, verbal abilities, and executive functioning. Physical defects and lack of proper ventilation contributed to the poor air quality in schools. The results suggest that improving building conditions and facilities, as well as consideration of the school’s outdoor surroundings, could create healthier environments.
Office workers scored higher on performance measures when working in “green” environments with low indoor pollutants and low carbon dioxide levels.
The air quality within an office can affect employees’ cognitive function, including response times and ability to focus, and it may also affect their productivity, according to NIEHS-funded research led by Harvard T.H. Chan School of Public Health.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
28,Indoor Air Quality,What Is NIEHS Doing?,Cancer,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
29,Indoor Air Quality,What Is NIEHS Doing?,"Long-term exposure to radon and other indoor air substances that increase the chance of developing lung cancer include secondhand smoke, asbestos, arsenic, and some forms of silica and chromium.
Indoor air contaminants, such as the carcinogen formaldehyde, exceed acceptable levels in some early childhood learning centers.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
30,Indoor Air Quality,What Is NIEHS Doing?,Community Involvement,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
31,Indoor Air Quality,What Is NIEHS Doing?,NIEHS grant recipients work directly with communities affected by indoor air pollution to help reduce exposures and improve quality of life. Examples follow.,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
32,Indoor Air Quality,What Is NIEHS Doing?,Citizen Science,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
33,Indoor Air Quality,What Is NIEHS Doing?,"Together with researchers at two NIEHS-funded core centers — the University of Kentucky Center for Appalachian Research in Environmental Sciences and the University of Cincinnati Center for Environmental Genetics — high school students developed and pilot-tested a family-centered home radon testing toolkit with the ultimate goal of preventing lung cancer.
To enable community-based research, NIEHS-funded researchers invented a low-cost, portable sensor for detecting indoor pollutants. The development of such high quality and affordable real-time sensors provides new opportunities to conduct research and inform individuals or communities on daily health risks.
Engaging youth as partners in environmental health research can motivate them to pursue careers in science, build self-esteem and leadership skills, and educate their communities. At the University of California, Berkeley, the Lifting Up Communities by Intervening with Research (LUCIR) study involved high school students in characterizing chemicals in household cleaning products and estimating exposures to those chemicals. They repeated the process with ""green"" cleaning products, and noted reductions in harmful chemicals. Then to educate their target audience of Latina household cleaning staff, they developed engaging videos about choosing safer cleaning products. Learn more in a podcast linked below.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
34,Indoor Air Quality,What Is NIEHS Doing?,Tribal Nations,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
35,Indoor Air Quality,What Is NIEHS Doing?,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
36,Indoor Air Quality,What Is NIEHS Doing?,"Hopi tribe members in the American Southwest identified indoor air quality, as well as arsenic in drinking water, as environmental exposures of concern. These perceptions derive from actual experiences with health problems such as cancer and asthma. Study authors emphasize including traditional values and practices in future interventions to reduce environmental health risks.
Patricia Nez Henderson, M.D., vice president of the Black Hills Center for American Indian Health and a NIEHS-funded researcher, is working to create culturally-relevant smoking cessation and secondhand smoke reduction interventions in Lakota communities. Learn more from a podcast listed below.
Residential burning of biomass for heat leads to elevated indoor levels of fine particulate matter (PM2.5) that often exceed health-based air quality standards. NIEHS-funded grant recipients are developing and testing low-cost, educational, and sustainable interventions for improving residential heating to reduce young children's risk of respiratory diseases in Native American communities.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
37,Indoor Air Quality,What Is NIEHS Doing?,Low- and Middle-income Countries (LMICs),https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
38,Indoor Air Quality,What Is NIEHS Doing?,Examples of clean cookstoves                    (Photo courtesy of U.S. Mission Geneva),https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
39,Indoor Air Quality,What Is NIEHS Doing?,"NIEHS participates in the Household Air Pollution Intervention Network trial, a randomized controlled study of liquefied petroleum gas stove and fuel distribution to 3,200 households in four countries. The largest global source of indoor pollution, particularly in LMICs, comes from cooking and heating with solid fuels, including dung, wood, agricultural residues, and coal. Data from studies, such as this one, are needed to inform policies on interventions to reduce household air pollution among vulnerable populations.
In LMICs, about 3 million infants and children younger than 5 years die every year from pneumonia, according to WHO. Exposure to household air pollution from burning biomass fuels was implicated in about a third of these cases. NIEHS has funded research related to cookstoves, which contributes to understanding health effects of this form of household air pollution.
NIEHS also partnered with the American Thoracic Society, the European Respiratory Society, and the Global Alliance for Clean Cookstoves on an international workshop on respiratory health effects of household air pollution. The workshop task force concluded, in 2018, scientific evidence supports the potential to develop scalable solutions that can reduce these exposures and improve lives. Respiratory diseases from household air pollution are preventable for 2.8 billion people worldwide.
Research, co-funded by NIEHS, shows that prenatal household air pollution exposure increased the chance of developing pneumonia in the first year of life. The authors concluded that clean-burning interventions, such as cookstoves, may be most effective when begun before children are born.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
40,Indoor Air Quality,Further Reading,Stories from the Environmental Factor (NIEHS newsletter),https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
41,Indoor Air Quality,Further Reading,"Better Air Quality May Lower Dementia Risk Among Older Women (August 2021)
Indoor Air a Neglected Source of Chemical, Particulate Exposures (May 2021)
Inhalation Exposures, Emerging Chemicals Addressed by NIEHS Scientists (May 2021)
Watch Out for Radon! Podcast, Citizen Scientists Spotlight Health Risk (February 2021)",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
42,Indoor Air Quality,Further Reading,Press Releases,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
43,Indoor Air Quality,Further Reading,NIEHS Earns WELL Building Rating Amid Pandemic (2021) – NIEHS is the first federal agency to achieve the International WELL Building Institute’s Health-Safety Rating.,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
44,Indoor Air Quality,Further Reading,"Fact Sheets



      4 pages    									(1MB)							   Air Pollution and Your Health
      2 pages    									(226KB)							   Asthma and Its Environmental Triggers
      4 pages    									(382KB)							   Children’s Health – Why the Environment Matters
      2 pages    									(320KB)							   Mold and Your Health
      4 pages    									(1MB)							   National Institute of Environmental Health Sciences",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
45,Indoor Air Quality,Further Reading,Podcasts,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
46,Indoor Air Quality,Further Reading,"Healthy Buildings, Healthy People, Healthy Planet (January 2022) - Joseph G. Allen, D.Sc., an associate professor at the Harvard T.H. Chan School of Public Health, discusses his research on indoor air quality and health. He also offers strategies people can use to promote healthy buildings.
Engaging Youth in Research (2021) - The NIEHS-funded Center for the Health Assessment of Mothers and Children of Salinas (CHAMCAOS) shares experiences with youth-led research, what they have learned, and how the program prepares the next generation of environmental health leaders.
Using Culturally Appropriate Messages to Promote Smoke-free Homes (2021) – NIEHS-funded researchers work with tribal communities to encourage smoke-free homes and improve health.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
47,Indoor Air Quality,Further Reading,Additional Resources,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
48,Indoor Air Quality,Further Reading,"Environmental Health Disparities and Environmental Justice – NIEHS supports many research programs, community-engaged activities, and training and education programs to reduce the disparate health effects of environmental hazards in disadvantaged communities and improve health equity.
Fungal Diseases webpage from the National Institute of Allergy and Infectious Diseases covers fungal diseases caused by a variety of fungi commonly found in the environment. You can inhale fungi spores, or they can land on you. As a result, fungal infections tend to start in the lungs or on the skin.
Indoor Air in Homes and Coronavirus (COVID-19) is a how-to guide by the EPA on improving ventilation to preserve indoor air quality and halt the spread of COVID-19.
Indoor Environmental Quality is a resource from the National Institute for Occupational Safety and Health with information on indoor environmental contaminants and ways to control them.
Prescription for Prevention: Indoor Air is a resource for healthcare professionals developed by the Icahn School of Medicine at Mount Sinai through an NIEHS grant.
The Inside Story: A Guide to Indoor Air Quality is a safety guide prepared by EPA and the Consumer Product Safety Commission with steps for reducing indoor air pollution in your home.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
49,Indoor Air Quality,Further Reading,Related Health Topics,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
50,Indoor Air Quality,Further Reading,"Air Pollution
Allergens & Irritants
Asthma
Exposure Science
Smoking and Vaping",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
51,Indoor Air Quality,Follow Us,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
52,Indoor Air Quality,Contact Information,"Contact Us
Employment Verification
Freedom of Information Act
Sign up for Email Updates
Staff Directory
Visiting NIEHS",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
53,Indoor Air Quality,Policies & Services,"HHS Vulnerability Disclosure Policy
Request Translation Services
Sitemap
Web Policies & Notices
Website Archive",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
54,Indoor Air Quality,NIEHS Staff,"Request an Update of This Webpage
The Junction",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
55,Indoor Air Quality,Related Sites,"Health and Human Services
National Institutes of Health
NO FEAR Act
USA.gov",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
56,Indoor Air Quality,Other Languages,En Español,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
