 ,Sub Topic,Description,Url
Air Pollution,How to Help Reduce Air Pollution,"“The less gasoline we burn, the better we’re doing to reduce air pollution and harmful effects of climate change,” Walke says. “Make good choices about transportation. When you can, walk, ride a bike, or take public transportation. For driving, choose a car that gets better miles per gallon of gas, or choose an electric car.” You can also investigate your power provider options—you may be able to request that your electricity be supplied by wind or solar. Buying your food locally cuts down on the fossil fuels burned in trucking or flying food in from across the country. And most important, “Support leaders who push for clean air and water and responsible steps on climate change,” Walke says.",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,How to Protect Your Health,"“When you see in the news or hear on the weather report that pollution levels are high, it may be useful to limit the time when children go outside or you go for a jog,” Walke says. Generally, ozone levels tend to be lower in the morning.If you exercise outside, stay as far as you can from heavily trafficked roads. Then shower and wash your clothes to remove fine particles.The air may look clear, but that doesn’t mean it’s pollution free. Utilize tools like the EPA’s air pollution monitor, AirNow, to get the latest conditions. If the air quality is bad, stay inside with windows closed.If you live or work in an area prone to wildfires, stay away from the harmful smoke as much as you’re able. Consider keeping a small stock of masks to wear when conditions are poor.Wear sunscreen. When ultraviolet radiation comes through the weakened ozone layer, it can cause skin damage and skin cancer.This story was originally published on November 1, 2016, and has been updated with new information and links.",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Health and Environmental Effects of Ozone Layer Depletion,The Connection between Ozone Layer Depletion and UVB Radiation,"Reduced ozone levels as a result ofozone depletionozone depletionA chemical destruction of the stratospheric ozone layer beyond natural reactions. Stratospheric ozone is constantly being created and destroyed through natural cycles. Various ozone-depleting substances (ODS), however, accelerate the destruction processes, resulting in lower than normal ozone levels. The science page (http://www.epa.gov/ozone/science/index.html) offers much more detail on the science of ozone depletion.mean less protection from the sun’s rays and more exposure toUVBUVBA band of ultraviolet radiation with wavelengths from 280-320 nanometers produced by the Sun. UVB is a kind of ultraviolet light from the sun (and sun lamps) that has several harmful effects. UVB is particularly effective at damaging DNA. It is a cause of melanoma and other types of skin cancer. It has also been linked to damage to some materials, crops, and marine organisms. The ozone layer protects the Earth against most UVB coming from the sun. It is always important to protect oneself against UVB, even in the absence of ozone depletion, by wearing hats, sunglasses, and sunscreen. However, these precautions will become more important as ozone depletion worsens. NASA provides more information on their web site (http://www.nas.nasa.gov/About/Education/Ozone/radiation.html).radiation at the Earth’s surface. Studies have shown that in the Antarctic, the amount of UVB measured at the surface can double during the annual ozone hole.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Health and Environmental Effects of Ozone Layer Depletion,Effects on Human Health,"Ozone layer depletion increases the amount of UVB that reaches the Earth’s surface. Laboratory and epidemiological studies demonstrate that UVB causes non-melanoma skin cancer and plays a major role in malignant melanoma development. In addition, UVB has been linked to the development of cataracts, a clouding of the eye’s lens.Source: Figure Q3-1 from Michaela I. Hegglin (Lead Author), David W. Fahey, Mack McFarland, Stephen A. Montzka, and Eric R. Nash, Twenty Questions and Answers About the Ozone Layer: 2014 Update, Scientific Assessment of Ozone Depletion: 2014, 84 pp., World Meteorological Organization, Geneva, Switzerland, 2015.Because all sunlight contains some UVB, even with normal stratospheric ozone levels, it is always important toprotect your skin and eyes from the sun. See a more detailed explanation ofhealth effects linked to UVB exposure.EPA uses the Atmospheric and Health Effects Framework model to estimate the health benefits of strongerozone layer protectionunder theMontreal Protocol. Updated information on the benefits of EPA’s efforts to address ozone layer depletion is available in a 2015 report,Updating Ozone Calculations and Emissions Profiles for Use in the Atmospheric and Health Effects Framework Model.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Health and Environmental Effects of Ozone Layer Depletion,Effects on Plants,"UVB radiation affects the physiological and developmental processes of plants. Despite mechanisms to reduce or repair these effects and an ability to adapt to increased levels of UVB, plant growth can be directly affected by UVB radiation.Indirect changes caused by UVB (such as changes in plant form, how nutrients are distributed within the plant, timing of developmental phases and secondary metabolism) may be equally or sometimes more important than damaging effects of UVB. These changes can have important implications for plant competitive balance, herbivory, plant diseases, and biogeochemical cycles.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Health and Environmental Effects of Ozone Layer Depletion,Effects on Marine Ecosystems,"Phytoplankton form the foundation of aquatic food webs. Phytoplankton productivity is limited to the euphotic zone, the upper layer of the water column in which there is sufficient sunlight to support net productivity. Exposure to solar UVB radiation has been shown to affect both orientation and motility in phytoplankton, resulting in reduced survival rates for these organisms. Scientists have demonstrated a direct reduction in phytoplankton production due to ozone depletion-related increases in UVB.UVB radiation has been found to cause damage to early developmental stages of fish, shrimp, crab, amphibians, and other marine animals. The most severe effects are decreased reproductive capacity and impaired larval development. Small increases in UVB exposure could result in population reductions for small marine organisms with implications for the whole marine food chain.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Health and Environmental Effects of Ozone Layer Depletion,Effects on Biogeochemical Cycles,"Increases in UVB radiation could affect terrestrial and aquatic biogeochemical cycles, thus altering both sources and sinks of greenhouse and chemically important trace gases (e.g., carbon dioxide, carbon monoxide, carbonyl sulfide, ozone, and possibly other gases). These potential changes would contribute to biosphere-atmosphere feedbacks that mitigate or amplify the atmospheric concentrations of these gases.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Health and Environmental Effects of Ozone Layer Depletion,Effects on Materials,"Synthetic polymers, naturally occurring biopolymers, as well as some other materials of commercial interest are adversely affected by UVB radiation. Today's materials are somewhat protected from UVB by special additives. Yet, increases in UVB levels will accelerate their breakdown, limiting the length of time for which they are useful outdoors.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Air Quality Management Process Cycle,establishes goals,"A government institution typically establishes goals related to air quality. An example is an acceptable level of a pollutant in the air that will protect public health, including people who are more vulnerable to the effects of air pollution. ",https://www.epa.gov/air-quality-management-process/air-quality-management-process-cycle
Air Quality Management Process Cycle,developing control strategies,"In developing control strategies, air quality managers consider how pollution prevention and emission control techniques can be applied to achieve the reductions needed to achieve the goals.  ",https://www.epa.gov/air-quality-management-process/air-quality-management-process-cycle
Air Quality Management Process Cycle,implement programs,"To successfully achieve the air quality goals, air quality managers need to implement programs for pollution control strategies. Regulations or incentive programs that lower emissions from sources need to be put in place. Regulated industries need training and assistance in how to comply with rules. And the rules need to be enforced. ",https://www.epa.gov/air-quality-management-process/air-quality-management-process-cycle
Air Quality Management Process Cycle, on-going evaluation,It is important to undertake on-going evaluation to know if your air quality goals are being met.,https://www.epa.gov/air-quality-management-process/air-quality-management-process-cycle
Air Quality Management Process Cycle,scientific research,"The cycle is a dynamic process. There is a continuous review and assessment of goals and strategies based on their effectiveness. All parts of this process are informed by scientific research that provides air quality managers with essential understanding of how pollutants are emitted, transported and transformed in the air and their effects on human health and the environment.",https://www.epa.gov/air-quality-management-process/air-quality-management-process-cycle
Basic Ozone Layer Science,I. The Ozone Layer,"The Earth's atmosphere is composed of several layers. The lowest layer, thetropospheretroposphereThe region of the atmosphere closest to the Earth. The troposphere extends from the surface up to about 10 km in altitude, although this height varies with latitude. Almost all weather takes place in the troposphere. Mt. Everest, the highest mountain on Earth, is only 8.8 km high. Temperatures decrease with altitude in the troposphere. As warm air rises, it cools, falling back to Earth. This process, known as convection, means there are huge air movements that mix the troposphere very efficiently., extends from the Earth's surface up to about 6 miles or 10 kilometers (km) in altitude. Virtually all human activities occur in the troposphere. Mt. Everest, the tallest mountain on the planet, is only about 5.6 miles (9 km) high. The next layer, thestratospherestratosphereThe region of the atmosphere above the troposphere. The stratosphere extends from about 10km to about 50km in altitude. Commercial airlines fly in the lower stratosphere. The stratosphere gets warmer at higher altitudes. In fact, this warming is caused by ozone absorbing ultraviolet radiation. Warm air remains in the upper stratosphere, and cool air remains lower, so there is much less vertical mixing in this region than in the troposphere., continues from 6 miles (10 km) to about 31 miles (50 km). Most commercial airplanes fly in the lower part of the stratosphere.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
