,title,sub_title,description
12,Causes of Climate Change,Reflectivity or Absorption of the Sun’s Energy,"Activities such as agriculture, road construction, and deforestation can change the reflectivity of the earth's surface, leading to local warming or cooling. This effect is observed in heat islands, which are urban centers that are warmer than the surrounding, less populated areas. One reason that these areas are warmer is that buildings, pavement, and roofs tend to reflect less sunlight than natural surfaces. While deforestation can increase the earth’s reflectivity globally by replacing dark trees with lighter surfaces such as crops, the net effect of all land-use changes appears to be a small cooling.13"
13,Causes of Climate Change,Reflectivity or Absorption of the Sun’s Energy,"Emissions of small particles, known as aerosols, into the air can also lead to reflection or absorption of the sun's energy. Many types of air pollutants undergo chemical reactions in the atmosphere to create aerosols. Overall, human-generated aerosols have a net cooling effect on the earth. Learn more about human-generated and natural aerosols."
14,Causes of Climate Change,Reflectivity or Absorption of the Sun’s Energy,
15,Causes of Climate Change,Changes in the Earth’s Orbit and Rotation,"Changes in the earth’s orbit and its axis of rotation have had a big impact on climate in the past. For example, the amount of summer sunshine on the Northern Hemisphere, which is affected by changes in the planet’s orbit, appears to be the primary cause of past cycles of ice ages, in which the earth has experienced long periods of cold temperatures (ice ages), as well as shorter interglacial periods (periods between ice ages) of relatively warmer temperatures.14  At the coldest part of the last glacial period (or ice age), the average global temperature was about 11°F colder than it is today. At the peak of the last interglacial period, however, the average global temperature was at most 2°F warmer than it is today.15"
16,Causes of Climate Change,Variations in Solar Activity,"Changes in the sun’s energy output can affect the intensity of the sunlight that reaches the earth’s surface. While these changes can influence the earth’s climate, solar variations have played little role in the climate changes observed in recent decades.16 Satellites have been measuring the amount of energy the earth receives from the sun since 1978. These measurements show no net increase in the sun’s output, even as global surface temperatures have risen.17"
17,Causes of Climate Change,Variations in Solar Activity,"The sun follows a natural 11-year cycle of small ups and downs in intensity (bottom chart), but the effect on the earth is small. Over the same period, the average global temperature has increased markedly (top chart). Source: National Academy of Sciences, Climate Change Evidence & Causes, 2020."
18,Causes of Climate Change,Changes in the Earth’s Reflectivity,"The amount of sunlight that is absorbed or reflected by the planet depends on the earth’s surface and atmosphere. Dark objects and surfaces, like the ocean, forests, and soil, tend to absorb more sunlight. Light-colored objects and surfaces, like snow and clouds, tend to reflect sunlight. About 70 percent of the sunlight that reaches the earth is absorbed.18 Natural changes in the earth’s surface, like the melting of sea ice, have contributed to climate change in the past, often acting as feedbacks to other processes."
19,Causes of Climate Change,Volcanic Activity,"Volcanoes have played a noticeable role in climate, and volcanic eruptions released large quantities of carbon dioxide in the distant past. Some explosive volcano eruptions can throw particles (e.g., SO2) into the upper atmosphere, where they can reflect enough sunlight back to space to cool the surface of the planet for several years.19 These particles are an example of cooling aerosols."
20,Causes of Climate Change,Volcanic Activity,"Volcanic particles from a single eruption do not produce long-term climate change because they remain in the atmosphere for a much shorter time than greenhouse gases. In addition, human activities emit more than 100 times as much carbon dioxide as volcanoes each year.20"
21,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"Over the last several hundred thousand years, carbon dioxide levels varied in tandem with the glacial cycles. During warm interglacial periods, carbon dioxide levels were higher. During cool glacial periods, carbon dioxide levels were lower.21 The heating or cooling of the earth’s surface and oceans can cause changes in the natural sources and sinks of these gases, and thus change greenhouse gas concentrations in the atmosphere.22 These changing concentrations have acted as a positive climate feedback, amplifying the temperature changes caused by long-term shifts in the earth’s orbit.23"
22,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"Analyses of ice core data extending back 800,000 years show that warmer periods on the earth coincide with periods of relatively high atmospheric carbon dioxide concentrations. Source: Based on data appearing in NAS, Climate Change Evidence & Causes, 2020."
23,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,
24,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,
25,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"1 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. 5. doi: 10.17226/25733"
26,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"2 Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, B. DeAngelo, S. Doherty, K. Hayhoe, R. Horton, J.P. Kossin, P.C. Taylor, A.M. Waple & C.P. Weaver. (2017). Executive summary. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, pp. 12–34, doi: 10.7930/J0DJ5CTG"
27,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. 5. doi: 10.17226/25733"
28,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"3 IPCC (2013). Climate change 2013: The physical science basis. Working Group I contribution to the fifth assessment report of the Intergovernmental Panel on Climate Change [Stocker, T.F., D. Qin, G.-K. Plattner, M. Tignor, S.K. Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex & P.M. Midgley (eds.)]. Cambridge University Press, Cambridge, United Kingdom and New York, NY, p. 869."
29,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"4 IPCC. (2021). Climate change 2021: The physical science basis. Working Group I contribution to the sixth assessment report of the Intergovernmental Panel on Climate Change [Masson-Delmotte, V., P. Zhai, A. Pirani, S.L. Connors, C. Péan, S. Berger, N. Caud, Y. Chen, L. Goldfarb, M.I. Gomis, M. Huang, K. Leitzell, E. Lonnoy, J.B.R. Matthews, T.K. Maycock, T. Waterfield, O. Yelekçi, R. Yu & B. Zhou (eds.)]. Cambridge University Press, Cambridge, United Kingdom, p. SPM-5."
30,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"5 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. B-2. doi: 10.17226/25733"
31,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou & P.C. Taylor. (2017). Physical drivers of climate change. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 80, Figure 2.4. doi: 10.7930/J0513WCR"
32,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"6 Hayhoe, K., D.J. Wuebbles, D.R. Easterling, D.W. Fahey, S. Doherty, J. Kossin, W. Sweet, R. Vose & M. Wehner. (2018). Our changing climate. In: Impacts, risks, and adaptation in the United States: Fourth national climate assessment, volume II [Reidmiller, D.R., C.W. Avery, D.R. Easterling, K.E. Kunkel, K.L.M. Lewis, T.K. Maycock & B.C. Stewart (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 76. doi: 10.7930/NCA4.2018"
33,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"7 IPCC. (2013). Climate change 2013: The physical science basis.Working Group I contribution to the fifth assessment report of the Intergovernmental Panel on Climate Change [Stocker, T.F., D. Qin, G.-K. Plattner, M. Tignor, S.K. Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex & P.M. Midgley (eds.)]. Cambridge University Press, Cambridge, United Kingdom, and New York, NY, p. 166."
34,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,8 NOAA. (2021). Trends in atmospheric carbon dioxide. Retrieved 3/25/2021. esrl.noaa.gov/gmd/ccgg/trends/mlo.html
35,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"9 IPCC. (2013). Climate change 2013: The physical science basis.Working Group I contribution to the fifth assessment report of the Intergovernmental Panel on Climate Change [Stocker, T.F., D. Qin, G.-K. Plattner, M. Tignor, S.K. Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex & P.M. Midgley (eds.)]. Cambridge University Press, Cambridge, United Kingdom, and New York, NY, p. 167."
36,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,10 NOAA. (2021). Trends in atmospheric methane. Retrieved 3/25/2021. esrl.noaa.gov/gmd/ccgg/trends_ch4
37,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"11 IPCC. (2013). Climate change 2013: The physical science basis.Working Group I contribution to the fifth assessment report of the Intergovernmental Panel on Climate Change [Stocker, T.F., D. Qin, G.-K. Plattner, M. Tignor, S.K. Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex & P.M. Midgley (eds.)]. Cambridge University Press, Cambridge, United Kingdom, and New York, NY, p. 168."
38,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,12 NOAA. (2021). Trends in nitrous oxide. Retrieved 3/25/2021. esrl.noaa.gov/gmd/ccgg/trends_n2o/
39,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"13 Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou & P.C. Taylor. (2017). Physical drivers of climate change. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 78, Fig. 2.3 and p. 86. doi: 10.7930/J0513WCR"
40,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"14 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. 9. doi: 10.17226/25733"
41,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"15 Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou & P.C. Taylor. (2017). Our globally changing climate. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 53. doi: 10.7930/J08S4N35"
42,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"16 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. 7. doi: 10.17226/25733"
43,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"17 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, p. 7. doi: 10.17226/25733"
44,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"18 Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou, & P.C. Taylor. (2017). Physical drivers of climate change. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 2. doi: 10.7930/J0513WCR"
45,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"19 Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou, & P.C. Taylor. (2017). Physical drivers of climate change. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 79. doi: 10.7930/J0513WCR"
46,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"20 Fahey, D.W., S.J. Doherty, K.A. Hibbard, A. Romanou & P.C. Taylor. (2017). Physical drivers of climate change. In: Climate science special report: Fourth national climate assessment, volume I [Wuebbles, D.J., D.W. Fahey, K.A. Hibbard, D.J. Dokken, B.C. Stewart & T.K. Maycock (eds.)]. U.S. Global Change Research Program, Washington, DC, p. 79. doi: 10.7930/J0513WCR"
47,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"21 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, pp. 9–10. doi: 10.17226/25733"
48,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"22 IPCC. (2013). Climate change 2013: The physical science basis. Working Group I contribution to the fifth assessment report of the Intergovernmental Panel on Climate Change [Stocker, T.F., D. Qin, G.-K. Plattner, M. Tignor, S.K. Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex & P.M. Midgley (eds.)]. Cambridge University Press, Cambridge, United Kingdom and New York, NY, p. 399."
49,Causes of Climate Change,Changes in Naturally Occurring Carbon Dioxide Concentrations,"23 National Academy of Sciences. (2020). Climate change: Evidence and causes: Update 2020. The National Academies Press, Washington, DC, pp. 9–10. doi: 10.17226/25733"
50,-,-,-
